,lon,lat,n_mb_years,tstar,bias
RGI60-01.00570,-145.427,63.281,52,1922,486.711676714164
RGI60-01.01104,-134.349,58.38,66,1962,236.88814328470085
RGI60-01.02228,-143.847625732,69.302070618,13,1954,99.679997043002
RGI60-01.04591,-131.062,56.955,9,1957,-4.480376637236702
RGI60-01.05211,-130.684,56.975,9,1977,-13.860524580947867
RGI60-01.05355,-130.83,57.091,8,1962,162.37503079902808
RGI60-01.09162,-148.908,60.412,52,1940,2.3673752786540945
RGI60-02.00296,-122.979,49.8876,24,1983,1.5236989938257466
RGI60-02.00377,-122.989,49.9609,41,1918,495.80604953279453
RGI60-02.01104,-122.605,50.4195,52,1918,452.6839308962077
RGI60-02.02107,-123.414,50.7918,10,1918,61.72032434370658
RGI60-02.02631,-123.621,50.872,10,1961,15.598520943878157
RGI60-02.02636,-123.639,50.8216,5,1961,619.442801006127
RGI60-02.03210,-118.061,51.1141,10,1971,320.8612792531703
RGI60-02.04379,-125.136,51.3432,7,1963,846.1457048252714
RGI60-02.04503,-124.911,51.4455,8,1963,332.16567874730936
RGI60-02.05098,-116.56,51.6585,51,1961,208.6944641210897
RGI60-02.05690,-116.486,51.819,10,1917,213.72607595713316
RGI60-02.14017,-123.6957,47.80982,47,1941,-8.00341430986191
RGI60-02.14297,-121.71401,46.86478,12,1972,0.6596487297161957
RGI60-02.14336,-121.74768,46.82481,11,1972,31.072639512040382
RGI60-02.17023,-113.75707,48.62495,13,1957,175.35207599136027
RGI60-02.17307,-121.6233,48.82573,35,1967,-2.9814344191289592
RGI60-02.17369,-121.51089,48.67217,24,1984,-5.69272422409756
RGI60-02.17612,-121.2419,48.97609,24,1999,-13.146668179595821
RGI60-02.17733,-121.77805,48.79868,35,1985,5.3631703649556925
RGI60-02.17739,-121.82996,48.74956,29,1930,3.7118984475323487
RGI60-02.17789,-121.03186,48.41349,10,1999,0.9881327628581857
RGI60-02.17806,-121.03017,48.44805,35,1964,-5.477671031398245
RGI60-02.17862,-120.79699,48.41053,23,1932,11.517440777777779
