,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1955,0.23872590328210208
RGI60-11.00012,13.0581,47.4242,10,1882,0.2488257602997237
RGI60-11.00073,12.5956,47.1403,17,1943,2.805123511956026
RGI60-11.00080,12.5964,47.1316,63,1946,1.33604605829521
RGI60-11.00106,12.6967,47.0991,28,1936,2.078746550378469
RGI60-11.00190,12.3784,47.0851,8,1987,0.9458479299391911
RGI60-11.00251,12.9472,47.053,16,1988,-21.256746174478394
RGI60-11.00289,12.9702,47.0421,26,1873,-0.4063119073117605
RGI60-11.00300,13.0049,47.0385,32,1881,-12.394772892880155
RGI60-11.00603,11.2247,46.9656,19,1901,-0.4368522252813136
RGI60-11.00619,11.1528,46.9566,13,1962,-0.7579759059804019
RGI60-11.00638,9.38896,46.9603,8,1969,-3.236524687252313
RGI60-11.00647,12.0965,46.9069,6,1958,-0.7387384558526264
RGI60-11.00719,10.818,46.8762,50,1869,7.944986569410901
RGI60-11.00781,10.1603,46.8577,26,1926,0.8950243321029347
RGI60-11.00787,10.7907,46.8424,62,1982,-1.1032799763156333
RGI60-11.00797,10.1054,46.8515,9,1875,0.2596756334846759
RGI60-11.00804,10.0766,46.8524,96,1929,-11.525292318441814
RGI60-11.00807,10.1309,46.8529,9,1905,141.12672869067694
RGI60-11.00843,8.89117,46.8442,100,1975,-9.01429451045803
RGI60-11.00892,8.98871,46.833,42,1891,-2.6756886789852956
RGI60-11.00897,10.7584,46.8003,62,1885,-6.470996321101779
RGI60-11.00918,8.97739,46.8133,38,1926,5.048780098781975
RGI60-11.00929,11.0191,46.7817,8,1929,1.27552320969653
RGI60-11.00957,10.8054,46.7801,5,1928,-7.670180518163988
RGI60-11.01238,8.3965,46.6236,33,1901,78.63093387757453
RGI60-11.01450,8.01919,46.5028,60,1966,154.01644955695673
RGI60-11.01662,9.36354,46.5056,5,1970,-3.9596969972091074
RGI60-11.01704,10.771,46.4838,28,1878,-9.200498338300577
RGI60-11.01776,10.6115,46.4674,11,1883,-5.4369488988593275
RGI60-11.01834,10.7085,46.4512,48,1912,-4.118836685169299
RGI60-11.01863,10.6286,46.4337,12,1973,-13.118848386532477
RGI60-11.01876,8.33019,46.4383,53,1895,-0.13091071715007274
RGI60-11.01930,10.1119,46.4296,5,1974,2.790728962624371
RGI60-11.01987,8.4812,46.416,23,1955,2.8485828847368566
RGI60-11.02072,7.51198,46.3839,5,1969,674.8314964543483
RGI60-11.02214,10.5127,46.348,14,1888,-4.0550241884878915
RGI60-11.02245,9.70108,46.3085,6,1905,193.36407887470102
RGI60-11.02249,7.22536,46.3202,5,1970,582.6411433991848
RGI60-11.02285,9.64185,46.2987,6,1905,124.10286016152543
RGI60-11.02648,9.98941,46.0754,5,1999,-98.294062933351
RGI60-11.02671,7.9245,46.0649,40,1919,-5.623049660742254
RGI60-11.02679,7.9131,46.055,59,1932,5.975390623712229
RGI60-11.02704,7.90949,46.0336,59,1948,4.530502654414846
RGI60-11.02746,7.92806,46.0081,59,1933,27.73424320427202
RGI60-11.02764,7.87661,46.0124,9,1872,-38.68273330915872
RGI60-11.02766,7.29108,45.9647,18,1916,-0.7922919283647616
RGI60-11.02773,7.87051,45.9936,10,1950,2.6528195266200782
RGI60-11.02774,7.38888,45.9921,48,1919,1.8502185264694049
RGI60-11.03084,7.27894,45.5592,14,1953,-0.6349072469469093
RGI60-11.03135,7.38984,45.5181,23,1901,-10.044158531780113
RGI60-11.03166,7.2204,45.4757,12,1934,10.559159004168066
RGI60-11.03246,10.982920789,47.415938932,6,1874,1.627264505551551
RGI60-11.03638,6.985,45.951,39,1966,77.7909814496985
RGI60-11.03643,6.934,45.883,8,1909,-1.0320108809182784
RGI60-11.03671,6.629,45.295,20,1905,24.787907479318847
RGI60-11.03674,6.159,45.16,58,1925,132.1607813728325
RGI60-11.03756,6.130521774,45.116443634,66,1922,498.5405634845183
